date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Precipitation,Next_Day_AQI
2024-02-03,116.25,35.237500000000004,91.78750000000001,32.362500000000004,10.666666666666666,519.0,46.291666666666664,21.895833333333332,76.33333333333333,0.13333333333333333,84.75
2024-02-04,84.75,24.1125,79.15833333333333,20.283333333333335,5.2124999999999995,321.1666666666667,71.0,22.8625,79.54166666666667,0.049999999999999996,82.45833333333333
2024-02-05,82.45833333333333,26.34166666666667,48.82916666666667,27.379166666666666,11.320833333333333,481.375,79.0,21.429166666666664,77.375,0.0,82.25
2024-02-06,82.25,24.358333333333334,53.72083333333333,26.5,10.25,451.0833333333333,84.08333333333333,21.508333333333336,73.0,0.004166666666666667,83.91666666666667
2024-02-07,83.91666666666667,31.97083333333333,68.6375,21.1125,11.825000000000001,445.5416666666667,79.375,22.537499999999998,60.333333333333336,0.0,93.95833333333333
2024-02-08,93.95833333333333,28.349999999999998,52.645833333333336,24.008333333333336,13.416666666666666,482.0416666666667,89.91666666666667,20.8,44.166666666666664,0.0,87.41666666666667
2024-02-09,87.41666666666667,26.858333333333334,53.35,32.55416666666667,11.866666666666667,575.8333333333334,74.95833333333333,19.425,55.208333333333336,0.0,83.16666666666667
2024-02-10,83.16666666666667,25.3,53.35833333333333,30.270833333333332,11.033333333333333,496.7916666666667,85.04166666666667,21.325,66.5,0.0,81.91666666666667
2024-02-11,81.91666666666667,25.733333333333334,44.95416666666667,27.979166666666668,13.35,483.9583333333333,88.20833333333333,21.416666666666668,41.041666666666664,0.0,87.95833333333333
2024-02-12,87.95833333333333,32.770833333333336,50.90416666666667,36.229166666666664,16.037499999999998,624.3333333333334,84.75,21.570833333333336,38.875,0.0,101.95833333333333
2024-02-13,101.95833333333333,38.81666666666667,64.31666666666666,45.87916666666666,21.2375,752.5,69.0,21.254166666666666,45.916666666666664,0.0,117.41666666666667
2024-02-14,117.41666666666667,43.7875,73.55416666666666,50.07083333333333,20.425,938.875,68.41666666666667,21.275000000000002,49.875,0.0,128.83333333333334
2024-02-15,128.83333333333334,48.19583333333333,79.575,51.81666666666666,17.633333333333333,955.0416666666666,71.625,21.379166666666666,54.25,0.0,118.125
2024-02-16,118.125,36.862500000000004,60.19166666666666,52.72083333333333,17.279166666666665,863.2083333333334,65.125,22.233333333333334,39.625,0.0,104.375
2024-02-17,104.375,30.858333333333334,50.012499999999996,44.55833333333334,15.104166666666666,730.0,70.91666666666667,22.004166666666666,45.958333333333336,0.0,68.45833333333333
2024-02-18,68.45833333333333,15.045833333333334,27.900000000000002,13.012500000000001,5.395833333333333,289.4166666666667,86.5,23.108333333333334,74.16666666666667,0.0,64.0
2024-02-19,64.0,17.837500000000002,44.53333333333333,8.979166666666666,3.7541666666666664,254.33333333333334,95.41666666666667,24.695833333333336,75.875,0.0,71.54166666666667
2024-02-20,71.54166666666667,20.8,49.02916666666667,11.391666666666666,4.7749999999999995,258.1666666666667,99.33333333333333,23.537499999999998,75.08333333333333,0.0,74.41666666666667
